ID,Título,Región,Categoría,Subcategoría,Fecha,Contenido,Contenido_Completo,Tipo_Fuente,Sección_Fuente,URL_Fuente,Longitud,Palabras,Oraciones,Legibilidad,Densidad_Semántica,Riqueza_Informacional,Score_Calidad,Keywords,Entidades,Temas,Tiene_HTML,Completo,Relevante,Grupo_Duplicado,Hash_Contenido,Timestamp_Procesamiento
news_edicion_tolima_334f0d34,Edición 26 – Tolima,Tolima,comunicacion,ediciones_tolima,13 May 2025,Edición 26 Tolima. En esta edición puedes encontrarCómo entender la factura de energíaEn esta edición especial estamos en #ModoJuegoRecorre estas páginas y descubre cuánto sabes sobre tu factur...,Edición 26 Tolima. En esta edición puedes encontrarCómo entender la factura de energíaEn esta edición especial estamos en #ModoJuegoRecorre estas páginas y descubre cuánto sabes sobre tu factura de energía con un poco de diversión,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2025/05/Noticias-Celsia-mayo-junio-2025.pdf,239,35,1,0.5,1.0,0.473,0.846,"tolima, energi, encontrarco, edición, factura, puedes, edicio",tolima,facturacion_tarifas,False,True,True,,7c54f5898dcf,2025-10-15T22:36:56.807027
news_edicion_tolima_d68eb24f,Edición 25 - Tolima,Tolima,comunicacion,ediciones_tolima,4 Mar 2025,Edición 25 - Tolima. En esta edición puedes encontrarCómo llega la energía al enchufe en tu casa30 años del apagónMedidores inteligentes,Edición 25 - Tolima. En esta edición puedes encontrarCómo llega la energía al enchufe en tu casa30 años del apagónMedidores inteligentes,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2025/03/CELSIA-Edicion-febrero-marzo_VF-2.pdf,142,21,1,0.5,1.0,0.507,0.801,"tolima, medidor, llega, encontrarco, edición, puedes, edicio",tolima,"facturacion_tarifas, tecnologia_digital, infraestructura",False,True,True,,e553b7d79fd0,2025-10-15T22:36:56.807789
news_edicion_tolima_c8e1f8af,Edición 23 - Tolima,Tolima,comunicacion,ediciones_tolima,17 Oct 2024,Edición 23 - Tolima. En esta edición puedes encontrar Sabes qué tan verde es Tolima?El sistema eléctrico colombiano siempre te da luzFactura electrónica a mi me toca?,Edición 23 - Tolima. En esta edición puedes encontrar Sabes qué tan verde es Tolima?El sistema eléctrico colombiano siempre te da luzFactura electrónica a mi me toca?,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/10/CELSIA-TOLIMA-OCTUBRE-11-2024OK_compressed.pdf,171,27,3,0.5,1.0,0.535,0.818,"tolima, encontrar, sabes, edición, factura, puedes, edicio",tolima,"facturacion_tarifas, energia_renovable",False,True,True,,54b205df7d55,2025-10-15T22:36:56.808444
news_edicion_tolima_d04e5f8c,Edición 22 - Tolima,Tolima,comunicacion,ediciones_tolima,20 Ago 2024,"Edición 22 - Tolima. En esta edición puedes encontrar5 años de buena vibra a los tolimensesTolima, referente de energía solar en ColombiaLa historia de Ana y la libertad económica","Edición 22 - Tolima. En esta edición puedes encontrar5 años de buena vibra a los tolimensesTolima, referente de energía solar en ColombiaLa historia de Ana y la libertad económica",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/08/Noticias-Celsia-Tolima-Agosto-2024.pdf,184,29,1,0.5,1.0,0.536,0.825,"tolima, encontrar5, edición, puedes, edicio, solar, buena",tolima,energia_renovable,False,True,True,,9e30eab0f215,2025-10-15T22:36:56.809144
news_edicion_tolima_e6dc3709,Edición 21 - Tolima,Tolima,comunicacion,ediciones_tolima,17 May 2024,Edición 21 - Tolima. En esta edición puedes encontrar:Edición especial sobre ahorroLa libertad económica es bienestar para todosJugando y ahorrando,Edición 21 - Tolima. En esta edición puedes encontrar:Edición especial sobre ahorroLa libertad económica es bienestar para todosJugando y ahorrando,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/05/Noticias-Celsia-Tolima-Mayo-Junio2024-vf-1.pdf,151,20,1,0.5,1.0,0.506,0.78,"tolima, encontrar, especial, edición, puedes, edicio",tolima,,False,True,True,,6dfa2203557e,2025-10-15T22:36:56.809728
news_edicion_tolima_3f5f13cc,Edición 20 - Tolima,Tolima,comunicacion,ediciones_tolima,5 Feb 2024,Edición 20 - Tolima. En esta edición puedes encontrar: Cómo ahorrar energía? la preguntan del millónInternet de calidad para todosUna comunidad educativa renovada: más de 2.000 alumnos beneficia...,Edición 20 - Tolima. En esta edición puedes encontrar: Cómo ahorrar energía? la preguntan del millónInternet de calidad para todosUna comunidad educativa renovada: más de 2.000 alumnos beneficiados,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2024/02/NOTICIAS-CELSIA-TOLIMA-FEBRERO-2024.pdf,203,28,3,0.5,1.0,0.573,0.838,"tolima, encontrar, internet, cali, edición, puedes, edicio, ahorrar","tolima, cali","tecnologia_digital, responsabilidad_social",False,True,True,,8fb48a2d590d,2025-10-15T22:36:56.810508
news_edicion_tolima_775517bb,Edición 19 - Tolima,Tolima,comunicacion,ediciones_tolima,6 Dic 2023,Edición 19 - Tolima. En esta edición puedes encontrar:Transición energética y eso qué es?Te enseñamos a conocer tu huella ambientalAsí se pone un techo solar en la casa,Edición 19 - Tolima. En esta edición puedes encontrar:Transición energética y eso qué es?Te enseñamos a conocer tu huella ambientalAsí se pone un techo solar en la casa,newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2023/12/NOTICIAS-CELSIA-TOLIMA-NOVIEMBRE-DICIEMBRE.pdf,175,28,2,0.5,1.0,0.509,0.817,"tolima, encontrar, transicio, edición, puedes, edicio, solar",tolima,energia_renovable,False,True,True,,e13c36419eb4,2025-10-15T22:36:56.811214
news_edicion_tolima_2878d004,Edición 18 - Tolima,Tolima,comunicacion,ediciones_tolima,11 Sep 2023,"Edición 18 - Tolima. En esta edición puedes encontrar: Tolima, te mantenemos conectado a lo bien!Se vino El Niño y nosotros estamos listos!Te enseñamos a comprar como un experto en energía.","Edición 18 - Tolima. En esta edición puedes encontrar: Tolima, te mantenemos conectado a lo bien!Se vino El Niño y nosotros estamos listos!Te enseñamos a comprar como un experto en energía.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2023/09/Noticias-Celsia-Tolima-Septiembre-Octubre-2023.pdf,194,31,4,0.5,1.0,0.563,0.807,"tolima, encontrar, edición, mantenemos, puedes, edicio",tolima,,False,True,True,,4f0f5c2a6357,2025-10-15T22:36:56.811912
news_edicion_tolima_a9366b7a,Edición 17 - Tolima,Tolima,comunicacion,ediciones_tolima,9 Jun 2023,Edición 17 - Tolima. En esta edición puedes encontrar: Qué va a pasar con el precio de la generación durante El Niño? A los clientes de Celsia no los afectará significativamente. Conoce por qué...,"Edición 17 - Tolima. En esta edición puedes encontrar: Qué va a pasar con el precio de la generación durante El Niño? A los clientes de Celsia no los afectará significativamente. Conoce por qué. Notaste que cambio la factura de energía? Te la explicamos.Que no te echen cuentos, conoce datos que debes saber del sector eléctrico.",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2023/06/Noticias-Celsia-Tolima-Junio-Julio-2023-BAJA-1.pdf,338,56,7,0.5,1.0,0.624,0.891,"tolima, puedes, encontrar, edición, factura, celsia, conoce, edicio, cliente","tolima, celsia","facturacion_tarifas, servicio_cliente",False,True,True,,e3b5465b3b00,2025-10-15T22:36:56.813021
news_edicion_tolima_2e66c6ac,Edición 16 - Tolima,Tolima,comunicacion,ediciones_tolima,24 Mar 2023,"Edición 16 - Tolima. En esta edición puedes encontrar: A estrenar nueva factura! Más fácil de leer y ecológica.Encuesta afirma que en Ibagué, están satisfechos con nuestro servicio!5 claves par...","Edición 16 - Tolima. En esta edición puedes encontrar: A estrenar nueva factura! Más fácil de leer y ecológica.Encuesta afirma que en Ibagué, están satisfechos con nuestro servicio!5 claves para entender la tarifa de energía",newsletter,noticias_celsia,https://www.celsia.com/wp-content/uploads/2023/03/Noticias-Celsia-Tolima-febrero-marzo-2023-BAJA.pdf,232,35,4,0.5,1.0,0.596,0.855,"estrenar, tolima, encontrar, servicio, tarifa, edición, factura, puedes, edicio",tolima,"facturacion_tarifas, servicio_cliente",False,True,True,,8d60004a68e3,2025-10-15T22:36:56.813897
