user,tiempo,chunk,source
Celsia Energía,2 días •,"Todo comenzó con una idea dentro de Celsia. Hoy esa idea tiene nombre y propósito: Atera, una compañía que impulsa la eficiencia energética en las industrias de Latinoamérica. ⚙️🌎 En este episodio de hashtag , Luis Felipe Vélez, Director General de Atera Energy, nos cuenta cómo este intraemprendimiento se convirtió en una empresa independiente que está ayudando a las industrias a descarbonizar sus procesos, ser más eficientes en el uso de sus energéticos y ahorrar, mientras se dedican al core de sus negocios. También cómo lograron conquistar a unos de los más grandes inversionistas del mundo para que fuera su principal aliado: Brookfield. Una historia sobre innovación, visión y la energía que impulsa los grandes cambios. 🎧 Escúchalo en Spotify o míralo en YouTube. Spotify: YouTube:",LinkedIn
Celsia Energía,4 días •,"Este 16 de octubre realizaremos la subasta online de cables nuevos, con soporte directo y conexión en tiempo real vía WhatsApp. Participa y consigue lo que tu proyecto necesita.⚡ Inscríbete aquí y recibe más información",LinkedIn
Celsia Energía,5 días •,"☀️ ¿Listo para invertir en el futuro? Las Baby Farms son proyectos solares de hasta 1 MW diseñados para que empresas e inversionistas accedan a una fuente de ingresos rentable y sostenible. Con una inversión aproximada de 1 millón de dólares, podrás hacer parte de la transición energética y generar retorno mientras impulsas un cambio real. ✅ ¡Escríbenos al 3103361353 y te contamos como hacerlo! Conoce más aquí:",LinkedIn
Celsia Energía,2 días •,"¡En Celsia celebramos el poder del agua! Una fuente de energía limpia, confiable y poderosa que nos conecta, genera progreso y cuida el planeta. Gracias a nuestras 20 hidroeléctricas, el 76% de la energía que generamos en Celsia viene de este recurso natural. Y un dato adicional: En Colombia, el agua abastece cerca del 80% de la energía que necesitamos. hashtag 🧡",LinkedIn
Celsia Energía,5 días •,"La ciberseguridad es clave para la sostenibilidad de nuestro negocio y para fortalecer la confianza de quienes nos rodean. Por eso, trabajamos constantemente para tener bien protegidos nuestros activos digitales. Y esta labor diaria fue reconocida en ANDICOM 2025 con el Premio al Mejor Proyecto de Gestión de Riesgos en Ciberseguridad. 🔐✨ Este logro refleja el compromiso y la visión estratégica de nuestro talento celsiano. 🧡 Seguiremos innovando y elevando nuestras capacidades para estar siempre un paso adelante en los desafíos del mundo digital. hashtag hashtag hashtag hashtag",LinkedIn
Celsia Energía,1 semana •,"¿Sabías que en los últimos 10 años se ha triplicado el número de accionistas de Celsia, alcanzando más de 27 mil socios que respaldan nuestra visión de largo plazo? Tú también puedes hacer parte de la compañía que pone ON la transición. Este lunes 6 de octubre, es el día SIN comisión para las primeras 250 personas que compren acciones través de la plataforma trii ¡Invertir nunca había sido tan simple y transformador! ⚡",LinkedIn
Celsia Energía,1 día •,"¡18 millones de árboles sembrados en Colombia! Con hashtag seguimos restaurando bosques en Colombia, de la mano de las comunidades. Cada árbol que cultivamos es una apuesta por conservar las fuentes hídricas y la biodiversidad de nuestro 🌎🌱 Únete y siembra con nosotros en www.reverdec.org",LinkedIn
Celsia Energía,2 semanas •,"¡Gran noticia! Junto a Brookfield lanzamos Atera, una nueva empresa que ofrece soluciones integrales de eficiencia energética. Su meta: transformar el consumo energético industrial, acelerando la descarbonización sin distraerlas de sus objetivos de negocio. Atera también refleja el avance de nuestro programa hashtag , que tiene entre sus iniciativas la materialización del valor de los intra-emprendimientos, además de asegurar compromisos de capital para nuevo crecimiento. Atera llega en un momento clave: la eficiencia energética es hoy una ventaja competitiva para el desarrollo económico y territorial.⚡ 📲 Conoce más en el comunicado disponible en nuestra página web y mira lo que tienen para decir los CEO de Celsia y Brookfield y unos datos adicionales sobre Atera Energy",LinkedIn
Celsia Energía,2 semanas •,"hashtag Celsia I Cerramos la semana con el resumen diario de nuestro programa de readquisición de acciones al cierre de la bvc-Bolsa de Valores de Colombia S.A. ✅Precio de la hashtag : COP 4.775, sin variaciones. ✅# Acciones recompradas hoy: 60.946. Acumulado: 28.447.999 ✅Monto recomprado hoy: COP 289 millones. Acumulado: COP 116.445 millones. En este sitio puedes consultar todos los resúmenes de la hashtag y conocer más sobre hashtag hashtag hashtag hashtag hashtag Hasta hoy estaremos ejecutando la hashtag por el mecanismo transaccional con la bvc-Bolsa de Valores de Colombia S.A. El próximo 30 de septiembre daremos inicio a la readquisición de acciones a través del mecanismo independiente de la bvc-Bolsa de Valores de Colombia S.A. en la modalidad de construcción de libro o """"Book Building"""". El aviso de oferta con toda la información será publicado el próximo lunes en el diario Portafolio. Por nuestros canales también estaremos informando más. 👋🏼",LinkedIn
Celsia Energía,2 semanas •,"¿Sabías que el sistema eléctrico colombiano es uno de los más sostenibles del mundo?🌎 Las empresas del sector trabajan día a día para generar energía a partir de fuentes limpias, proteger los recursos naturales e impulsar el desarrollo de muchas comunidades. Detrás de cada bombillo encendido hay un sistema que funciona como un “lulito” y miles de personas que trabajan incansablemente para que tengamos energía 24/7. ¡Y ojo al dato! Hace 30 años Colombia no vive un apagón. En este carrusel encontrarás más curiosidades sobre nuestro sistema eléctrico, que cada día entrega energía confiable, limpia y sostenible a millones de personas y empresas. Desliza y cuéntanos cuál te parece más interesante ⚡",LinkedIn
Celsia Energía,3 semanas •,"hashtag I Finalizamos la semana con el reporte diario del programa de readquisición de acciones al cierre de la . ✅Precio de la hashtag : COP 4.550 (+0,66%) ✅# Acciones recompradas hoy: 57.401. Acumulado: 28.157.927 ✅Monto recomprado: COP 261 millones. Acumulado: COP 115 mil millones. En este sitio puedes consultar todos los resúmenes de la hashtag y conocer más sobre hashtag hashtag hashtag hashtag hashtag hashtag",LinkedIn
Celsia Energía,1 semana •,"🌱 En la Hacienda Monserrate ya riegan sus cultivos de caña de azúcar con energía solar. Con la ayuda de Celsia, instalaron un sistema que cubre el 99% de la energía del pozo de riego, reduciendo costos y apostándole a la sostenibilidad. ☀️¿Y tú, ya le apuestas a la energía solar? hashtag hashtag hashtag hashtag",LinkedIn
Celsia Energía,2 semanas • Editado •,ProPacífico les mandamos una recarga de buena energía por estos años de trabajo en el Valle del Cauca y el Pacífico colombiano. Esta labor nos inspira y nos motiva para seguir impulsando proyectos que hagan brillar a esta región. ¡Sigamos transformando juntos el futuro con la mejor energía! ⚡,LinkedIn
Celsia Energía,1 semana •,La energía mueve al mundo… y también nuestras conversaciones. Escucha nuestro pódcast “Aquí se habla de energía” y descubre nuestras charlas con más de 20 expertos nacionales e internacionales. 🎙 👆🏻 El link está en la biografía. Spotify: YouTube:,LinkedIn
Celsia Energía,1 semana •,"Nace Atera, una empresa creada entre Celsia y Brookfield que llega en un momento clave para el país y la región, donde el despliegue de renovables y la eficiencia energética se han convertido en una palanca de competitividad que busca garantizar la disponibilidad y estabilidad de la energía, un recurso fundamental para el desarrollo económico y territorial. Conoce su manifiesto y empieza a seguirlos en Atera Energy para conocer todo lo que su equipo de expertos está haciendo por las grandes industrias.⚡",LinkedIn
Celsia Energía,2 semanas •,"Las energías renovables no convencionales dependen de los recursos naturales que son inagotables, pero a la vez intermitentes. Y el sistema eléctrico no puede detenerse. Gracias a tecnologías de almacenamiento y redes inteligentes, enfrentamos este reto con innovación. Una transición energética es posible, incluso cuando, en ocasiones, tenemos días de poco sol o viento.☀️",LinkedIn
